
jacksparrow-backend  | INFO:     127.0.0.1:59782 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:25:45.770172Z"}
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:25:57.904011Z"}
jacksparrow-backend  | INFO:     127.0.0.1:39548 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:26:16.302805Z"}
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:26:29.538734Z"}
jacksparrow-backend  | INFO:     127.0.0.1:60850 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:26:46.937152Z"}
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:27:01.295212Z"}
jacksparrow-backend  | INFO:     127.0.0.1:46998 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:27:17.523170Z"}
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:27:32.817626Z"}
jacksparrow-backend  | INFO:     127.0.0.1:51898 - "GET /api/v1/health HTTP/1.1" 200 OK
